#Year 2015
Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 1-additional,Week 3-additional,Week 6-additional,Week 11-additional,Week 12-additional,Week 14-additional,Week 16-additional,Week 17-additional
,,,,,,,,,,,,,,,,,,,,,-9999,,,,,,,
Arizona Cardinals,1000509,490586,509923,60687,70126,60104,60500,46012,60140,73577,73064,60986,40038,69419,Bye,60944,63880,63345,69022,68665,*,*,*,*,*,*,*,*
Carolina Panthers,1122333,577765,544568,72005,71101,60104,71699,72762,60087,Bye,69083,72540,78090,73106,73068,71504,70592,72544,61845,72203,*,*,*,*,*,*,*,*
Cleveland Browns,1075124,539448,535676,67431,78523,67431,70686,70585,67431,Bye,65878,76743,67431,67431,67431,62157,67431,63345,67431,47759,*,*,*,*,*,*,*,*
Oakland Raiders,961146,428311,532835,52359,52748,66738,62259,60463,Bye,78160,71893,53318,51954,51921,78523,73548,52760,52788,25380,76334,*,*,*,*,*,*,*,*
Pittsburgh Steelers,986590,497896,488694,65878,65063,69439,57959,64037,25425,Bye,59244,61115,63627,67431,47423,62157,63880,64694,78523,70695,*,*,*,*,*,*,*,*
,17040039,,,1034338,1097299,1046088,1026205,1007626,920301,956700,1005834,921445,852588,915030,936817,1087068,1067748,1050270,1025179,1089503,-9999,,,,,,,
#2020
Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 1-additional,Week 7-additional,Week 8-additional,Week 9-additional,Week 11-additional,Week 14-additional,Week 15-additional,Week 17-additional
,,,,,,,,,,,,,,,,,,,,,-9999,,,,,,,
Arizona Cardinals,39894,9600,30294,,,,5120,,25174,1200,Bye,4200,4200,,,,,,,,*,*,*,*,*,*,*,*
Carolina Panthers,55958,34229,21729,,,,5120,6656,5240,3000,5240,12073,5815,5546,,Bye,5768,,,1500,*,*,*,*,*,*,*,*
Cleveland Browns,150365,80440,69925,,6000,6000,25021,11759,5260,9732,10972,Bye,10613,11133,15926,13986,11974,,,11989,*,*,*,*,*,*,*,*
Las Vegas Raiders,33407,,33407,,,,,13311,Bye,,10972,,,,9124,,,,,,*,*,*,*,*,*,*,*
Pittsburgh Steelers,101759,15877,85882,,,,Bye,4708,5260,10355,4345,31700,5909,17244,,,,10249,,11989,*,*,*,*,*,*,*,*
,1210937,,,29995,41283,36017,79967,83146,99118,50015,59829,116117,59216,86002,93720,60170,73048,91187,76390,75717,-9999,,,,,,,
#2021
Tm,Total,Home,Away,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 1-additional,Week 4-additional,Week 8-additional,Week 11-additional,Week 12-additional,Week 14-additional,Week 16-additional,Week 18-additional,Week 18-additional
,,,,,,,,,,,,,,,,,,,,,,-9999,,,,,,,,
Arizona Cardinals,1090961,500981,589980,67216,60115,58012,70003,62716,67431,60297,63696,59012,62400,68833,Bye,60803,63999,45211,63900,93459,63858,*,*,*,*,*,*,*,*,*
Carolina Panthers,1202133,575249,626884,70211,70675,68320,93262,72545,72104,71889,68583,72203,62400,73350,62389,Bye,72243,65398,71918,69170,65473,*,*,*,*,*,*,*,*,*
Cleveland Browns,1092573,539448,553125,72973,67431,67431,66703,70240,67431,67431,67431,65451,65878,67431,70355,Bye,67431,,77901,63624,67431,*,*,*,*,*,*,*,*,
Las Vegas Raiders,1068732,550673,518059,61756,63707,59311,70240,59122,76854,62000,Bye,74512,62125,61712,93483,61607,73278,,60972,65985,62068,*,*,*,*,*,*,*,*,
Pittsburgh Steelers,1103916,544397,559519,69787,63707,58076,78281,59841,60821,Bye,67431,60788,58716,70240,63238,59303,66718,59521,73371,63624,70453,*,*,*,*,*,*,*,*,
,18160092,,,1021930,1055061,1091387,1124624,1064347,910143,869910,991982,963230,957789,1016255,1024056,904292,884729,996247,1116303,1098115,1069692,-9999,,,,,,,,
